type,store,name,price,image_url
All-purpose flour,Sprouts,Sprouts Unbleached All Purpose Flour,$3.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_73fc944c-0899-4083-a192-c2d7e0154194.png"
All-purpose flour,Sprouts,Bob's Red Mill Unbleached All-Purpose White Flour,$6.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aff029e1-e05d-40ec-b65c-ab457535b448.png"
All-purpose flour,Sprouts,Bob's Red Mill Organic White Flour,$9.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bed2b500-5d08-4f30-a7fa-1ba939f9b4c9.png"
All-purpose flour,Sprouts,Arrowhead Mills Organic Unbleached All Purpose Flour,,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1f4c75e2-33ad-4b4f-a634-dcd08ce279fe.png"
All-purpose flour,Sprouts,Organic Unbleached Flour,$1.79 /lb,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6fecfd63-7dbe-4f6f-bdcc-366025d2c02d.png"
All-purpose flour,Sprouts,Arrowhead Mills Organic Gluten-Free All Purpose Flour,,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7aae3d3c-4533-406f-8db7-975e4fc528f7.png"
All-purpose flour,Sprouts,Jovial Organic All Purpose Einkorn Flour,$10.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_31bfdf38-d925-4294-8d19-d1da8ea08a03.png"
All-purpose flour,Sprouts,Bob's Red Mill Gluten Free All-Purpose Baking Flour,$5.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5d4e6ab7-be97-4eb4-a6d8-765ae6372b13.png"
All-purpose flour,Sprouts,Bob's Red Mill Gluten Free All-Purpose Baking Flour,$10.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_85e24d3b-4ba5-436c-97c3-f2209fe5a349.png"
All-purpose flour,Sprouts,Sprouts Baking Powder,$2.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_979e1a88-f4c6-4eda-894d-f81c2f6f0ab3.png"
All-purpose flour,Sprouts,Sprouts 100% Whole Wheat Flour,$3.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_068cb4ca-ce2c-4383-a87b-d54331756d9d.png"
All-purpose flour,Sprouts,Bob's Red Mill Premium Italian-Style 00 Flour,$7.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5405d829-95cb-4858-abd1-a7f14a1abee0.png"
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
All-purpose flour,Sprouts,,,
