type,store,name,price,image_url
All-purpose flour,Trader Joe's,Unbleached Enriched All-Purpose Flour,$2.99,https://www.traderjoes.com/content/dam/trjo/products/m20905/93249.png/jcr:content/renditions/cq5dam.web.1280.1280
All-purpose flour,Trader Joe's,Organic Unbleached All-Purpose Flour,$4.99,https://www.traderjoes.com/content/dam/trjo/products/m20905/69793.png/jcr:content/renditions/cq5dam.web.1280.1280
All-purpose flour,Trader Joe's,All Purpose Disinfectant Cleaner,$3.99,https://www.traderjoes.com/content/dam/trjo/products/m501/74545.png/jcr:content/renditions/cq5dam.web.1280.1280
All-purpose flour,Trader Joe's,Dutch Baby Pancake with Berries & Lemon Cream,,https://www.traderjoes.com/content/dam/trjo/context-images/93249-dutch-baby-berries-cream-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
All-purpose flour,Trader Joe's,"Dutch Baby Pancake with Caramelized Onion, Prosciutto, and Gruyère",,https://www.traderjoes.com/content/dam/trjo/context-images/93249-dutch-baby-onion-prosciutto-gruyere-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
All-purpose flour,Trader Joe's,Dutch Baby Pancake with Roasted Veggies & Goat Cheese,,https://www.traderjoes.com/content/dam/trjo/context-images/93249-dutch-baby-roasted-veggies-feta-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
All-purpose flour,Trader Joe's,"Dutch, Dutch Baby",,https://www.traderjoes.com/content/dam/trjo/editorial-main-images/dutch-baby/dutch-dutch-baby-main-image.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
All-purpose flour,Trader Joe's,This Banana Walks Into a Blondie Bar,,https://www.traderjoes.com/content/dam/trjo/context-images/98333-blondie-bar-baking-mix-PDP.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
All-purpose flour,Trader Joe's,Deck the Halls with So Much Good Stuff,,https://www.traderjoes.com/content/dam/trjo/editorial-main-images/deck-the-halls-products/Deck-the-halls-2023-main-image-v2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
Baking soda,Trader Joe's,Blondie Bar Baking Mix,$3.79,https://www.traderjoes.com/content/dam/trjo/products/m20905/98333.png/jcr:content/renditions/cq5dam.web.1280.1280
Baking soda,Trader Joe's,Peanut Butter Flavored Baking Chips,$2.99,https://www.traderjoes.com/content/dam/trjo/products/m21002/76560.png/jcr:content/renditions/cq5dam.web.1280.1280
Baking soda,Trader Joe's,GIR® Baking Mat,$4.99,https://www.traderjoes.com/content/dam/trjo/products/m501/75979.png/jcr:content/renditions/cq5dam.web.1280.1280
Baking soda,Trader Joe's,Preposterously Peanut Butter Cup Cookies,,https://www.traderjoes.com/content/dam/trjo/recipes/preposterously-peanut-butter-cookies.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
Baking soda,Trader Joe's,Chewy Salted Caramel Cookies,,https://www.traderjoes.com/content/dam/trjo/context-images/71839-sea-salt-caramel-chips-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
Baking soda,Trader Joe's,Double Chocolate Crinkle Cookies,,https://www.traderjoes.com/content/dam/trjo/context-images/51482-choc-chunks-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
Baking soda,Trader Joe's,This Banana Walks Into a Blondie Bar,,https://www.traderjoes.com/content/dam/trjo/context-images/98333-blondie-bar-baking-mix-PDP.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
