type,store,name,price,image_url
Cornstarch,Sprouts,Sprouts 100% Pure Corn Starch,$2.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2ebe9813-a68f-4ec3-bf3c-286e3b5194ae.png"
Cornstarch,Sprouts,Sprouts 100% Pure Baking Soda,$1.29 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5c26c004-6ab0-43ca-b84e-84bf6bd4a029.png"
Cornstarch,Sprouts,Sprouts Baking Powder,$2.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_979e1a88-f4c6-4eda-894d-f81c2f6f0ab3.png"
Cornstarch,Sprouts,Sprouts Nutritional Yeast,$5.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ca56659e-671d-4c85-ae93-51b35c4cf183.png"
Cornstarch,Sprouts,Sprouts Organic Cocoa Powder,$6.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8ba521b2-8cba-4a54-b868-1db4bfce767e.png"
Cornstarch,Sprouts,Sprouts Buttery Herb Dry Rub (Avg. 0.0625lb),$1.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_56455982-4e5a-4ea4-8616-254f391f0d7e.png"
Cornstarch,Sprouts,Sprouts Organic Distilled White Vinegar,$2.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_48705bdd-141d-45d0-98f7-c513baf8f8cc.png"
Cornstarch,Sprouts,Sprouts Organic Coconut Cream,$2.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_46097440-bd9c-433b-88df-a2dc6a80598b.png"
Cornstarch,Sprouts,Sprouts Coarse Atlantic Sea Salt,$2.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_86eae685-480d-427f-83df-d94acfe9c394.png"
Cornstarch,Sprouts,Sprouts Organic Lightly Salted Yellow Corn Cakes,$2.29 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5b71b15f-ba9c-46fb-88b3-1a1a6ef3e317.png"
