type,store,name,price,image_url
egg yolk,Sprouts,Skinny Pasta Organic Fettuccine,N/A,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_03142576-f1bb-4c9f-8a40-8e9303370e3f.png"
egg yolk,Sprouts,Yofiit Barista Original Chickpea Milk With Oats,N/A,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5881ced5-8356-4be3-ad68-0f810a5314a2.png"
egg yolk,Sprouts,Just Plant Based Liquid Egg,N/A,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6b00e68d-fbad-486e-af0d-b0f962efecad.png"
egg yolk,Sprouts,Redhill Farms Medium Grade A Pasture Raised Eggs,N/A,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_39b4faf3-9e9e-4b50-814c-7818cbcbb246.png"
egg yolk,Sprouts,Vital Farms Pasture-Raised Large Grade A Eggs,$4.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9aac6278-3e6e-46c9-9d81-5799e3f91725.png"
egg yolk,Sprouts,Sprouts Large Grade A Brown Cage Free Eggs,$2.29 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_20186631-b2c8-45a0-bddb-5245af17524f.png"
egg yolk,Sprouts,Sprouts Cage Free Large Brown Grade A Eggs,$3.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7b9502ce-b4c8-4af6-9b43-b61b5a77e8d7.png"
egg yolk,Sprouts,Sprouts Cage Free Large Grade A Eggs,$5.79 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b1009b93-2422-4ca6-93fd-41a759c36e99.png"
egg yolk,Sprouts,Vital Farms Organic Pasture-Raised Large Grade A Eggs,$9.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8deea362-a4f9-4036-9616-4b3ce1ca6912.png"
egg yolk,Sprouts,Chino Valley Ranchers Pasture Raised Whole Liquid Eggs,$4.29 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8fc0e782-cfbc-4923-933f-e9eb373fe171.png"
egg yolk,Sprouts,Vital Farms Pasture-Raised Large Grade A Eggs,$7.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c89a9deb-aab3-49d8-82f9-800779446255.png"
egg yolk,Sprouts,Vital Farms Organic Pasture Raised Large Eggs,$6.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_12a1e6ce-266a-47f4-bf4c-b458e3a84aa7.png"
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
egg yolk,Sprouts,N/A,N/A,N/A
