name,price,image_url
Bob's Red Mill Organic White Flour,$9.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bed2b500-5d08-4f30-a7fa-1ba939f9b4c9.png"
Bob's Red Mill Unbleached All-Purpose White Flour,$6.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aff029e1-e05d-40ec-b65c-ab457535b448.png"
Bob's Red Mill Artisan Bread Flour,$7.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b407fb59-00ca-4639-b500-25daefeb8d54.png"
Sprouts Unbleached All Purpose Flour,$3.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_73fc944c-0899-4083-a192-c2d7e0154194.png"
Organic Unbleached Flour,$1.79 /lb,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6fecfd63-7dbe-4f6f-bdcc-366025d2c02d.png"
Bob's Red Mill Unbleached All-Purpose White Flour,$6.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aff029e1-e05d-40ec-b65c-ab457535b448.png"
Arrowhead Mills Organic Unbleached All Purpose Flour,N/A,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1f4c75e2-33ad-4b4f-a634-dcd08ce279fe.png"
Sprouts 100% Pure Baking Soda,$1.29 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5c26c004-6ab0-43ca-b84e-84bf6bd4a029.png"
Sprouts Baking Powder,$2.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_979e1a88-f4c6-4eda-894d-f81c2f6f0ab3.png"
Jovial Organic All Purpose Einkorn Flour,$10.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_31bfdf38-d925-4294-8d19-d1da8ea08a03.png"
Bob's Red Mill Organic Stone Ground Whole Wheat Flour,$9.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_06401000-aa2e-4a2f-b713-4a2a1926dcf8.png"
Bob's Red Mill Stone Ground Whole Wheat Flour,$6.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0cea78fc-933f-4f52-a178-3a99ac098e79.png"
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
