type,store,name,price,image_url
Salt,Sprouts,Sprouts Iodized Fine Sea Salt,$3.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1f748c79-4ee2-4d87-9d4e-81dc90b786b8.png"
Salt,Sprouts,Sprouts Fine Atlantic Sea Salt,$2.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e45f4a36-8b06-4d93-a65e-261c6e26d618.png"
Salt,Sprouts,Sprouts Himalayan Sea Salt Grinder,$4.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cd960c76-4651-45f4-96a0-8bdd3988a8e0.png"
Salt,Sprouts,Sprouts Fine Himalayan Pink Salt,$4.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_746a5df2-806e-4b68-916f-e4515f8a93e3.png"
Salt,Sprouts,Sprouts Mediterranean Sea Salt Grinder,$4.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c9ca85b5-8fc9-40b8-9a89-68b7263a34b7.png"
Salt,Sprouts,Sprouts Kosher Coarse Sea Salt,$3.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_be4b9111-230e-4061-a23c-3465cbe39bfc.png"
Salt,Sprouts,Redmond All Natural Sea Salt,$11.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4baa3b0a-f675-4650-8762-5054ba097096.png"
Salt,Sprouts,Redmond Shaker Sea Salt,$7.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3c1af729-769f-44f0-afe2-2b97fb2384ab.png"
Salt,Sprouts,Sprouts Coarse Atlantic Sea Salt,$2.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_86eae685-480d-427f-83df-d94acfe9c394.png"
Salt,Sprouts,Sprouts Coarse Himalayan Pink Salt,$4.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ee2a8595-15c2-47b7-aed8-bf744752afed.png"
Salt,Sprouts,Morton Coarse Kosher Salt,$6.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_837b87b8-038f-4abc-8f22-b236ecb09119.png"
Salt,Sprouts,Sundhed Fine Himalayan Salt Jar,$6.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_56bdb6f8-a77c-4831-8db8-a90661902c33.png"
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
Salt,Sprouts,N/A,N/A,N/A
