type,store,name,price,image_url
Semi-sweet chocolate chips,Sprouts,Sprouts Semi Sweet Chocolate Chips,$4.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6ef6bb4d-d964-4405-8792-4f2357e1226d.png"
Semi-sweet chocolate chips,Sprouts,Guittard Real Semisweet Chocolate Chips,$6.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_be301c5d-65bc-424b-b05c-628a366ebf0f.png"
Semi-sweet chocolate chips,Sprouts,Semi Sweet Chocolate Chips,$4.99 /lb,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_37ba4e8f-f1af-4f9c-809a-b8ef2382bb3a.png"
Semi-sweet chocolate chips,Sprouts,Guittard Semisweet Super Cookie Chips,$6.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_169ccf4d-7f91-406e-83c2-6564bf633e51.png"
Semi-sweet chocolate chips,Sprouts,Enjoy Life Semi-Sweet Mini Chocolate Chips,$6.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b3e22c37-4720-4085-9963-d52d896c60dd.png"
Semi-sweet chocolate chips,Sprouts,Lily's Sweets Milk Chocolate Style Baking Chips,$7.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_16a1829a-bbdc-441e-8cb4-f68c2c428930.png"
Semi-sweet chocolate chips,Sprouts,Guittard Real Milk Chocolate Chips,$6.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ed07d228-c26d-4aca-b4b6-973c0127dc9a.png"
Semi-sweet chocolate chips,Sprouts,Lily's Sweets Dark Chocolate Baking Chips,$7.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_124a62ce-8a06-4ae6-8a20-d5cf286e2bc9.png"
Semi-sweet chocolate chips,Sprouts,Guittard Organic Akoma Extra Semisweet Dairy Free Chocolate Chips,$6.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_91945752-4c86-4122-a726-2585e4e2600d.png"
Semi-sweet chocolate chips,Sprouts,Enjoy Life Semi-Sweet Mega Chunks,$6.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ca28d3ce-34a7-4378-8c64-4a63cf6032c3.png"
Semi-sweet chocolate chips,Sprouts,Lily's Sweets Semi-Sweet Style Baking Chips,$7.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b5da4980-e901-4c27-a95b-1afc77764613.png"
Semi-sweet chocolate chips,Sprouts,Enjoy Life Dark Chocolate Morsels,$6.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ce934179-134f-43c9-9455-6deb4bfc4eb2.png"
Semi-sweet chocolate chips,Sprouts,N/A,N/A,N/A
Semi-sweet chocolate chips,Sprouts,N/A,N/A,N/A
Semi-sweet chocolate chips,Sprouts,N/A,N/A,N/A
Semi-sweet chocolate chips,Sprouts,N/A,N/A,N/A
Semi-sweet chocolate chips,Sprouts,N/A,N/A,N/A
Semi-sweet chocolate chips,Sprouts,N/A,N/A,N/A
