type,store,name,price,image_url
Silken tofu,Sprouts,Wildwood Extra Firm Sprouted Tofu,N/A,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f8034020-8e0d-4bf4-88fc-0662337707fb.png"
Silken tofu,Sprouts,Nasoya Korean BBQ Plant Based Steak,N/A,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a8cf0a81-fb7a-421c-b2be-118dfdc0048d.png"
Silken tofu,Sprouts,Sprouts Organic Firm Tofu,$1.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7851eade-b4e5-463e-b430-fecb234184fb.png"
Silken tofu,Sprouts,Sprouts Firm Tofu,$1.69 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_136e87d3-31fe-48e0-bf36-d0369f8c64c6.png"
Silken tofu,Sprouts,Mori-Nu Organic Silken Tofu,N/A,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ad9daee2-9b4c-4d40-8ca7-f768d5fdd0c0.png"
Silken tofu,Sprouts,Mori-Nu Extra Firm Silken Tofu,$2.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6e056c40-3e92-4ae7-a0b0-ad3c424ce6e7.png"
Silken tofu,Sprouts,Seapoint Farms Shelled Edamame Soybeans,$4.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_602dde99-fe72-4071-a2e1-990d0a81c6ef.png"
Silken tofu,Sprouts,Big Mountain Foods Soy-Free Fava Tofu,$5.99 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f818be83-84a6-4d2c-9a57-077a1ef3a72a.png"
Silken tofu,Sprouts,House Foods Organic Firm Tofu,$3.79 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2a25ae30-11ed-499e-a107-5b5c2d72df77.png"
Silken tofu,Sprouts,House Foods Organic Extra Firm Tofu,$3.79 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_93e37666-9159-4a22-9a1e-081c540bfad8.png"
Silken tofu,Sprouts,Lightlife Marinated Tempeh Strips,$5.49 /ea,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6f199052-27ed-4489-a139-97d2f4913777.png"
Silken tofu,Sprouts,Omni Foods Plant-Based Meat-Stlye Luncheon,N/A,"https://image-server.unataops.com/image-server/fit-in/200x200/filters:quality(80)/https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4b5a4f7e-41ac-4b01-9aa5-00d49eaa1757.png"
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
Silken tofu,Sprouts,N/A,N/A,N/A
