type,store,name,price,image_url
all-purpose flour,Target,Unbleached All Purpose Flour - 5lbs - Good & Gather™,$2.59,https://target.scene7.com/is/image/Target/GUEST_b0f5701e-07e7-4f18-88d7-79b83446a75c?qlt=65&fmt=webp&hei=350&wid=350
all-purpose flour,Target,King Arthur Flour Unbleached All-Purpose Flour - 5lbs,$5.59,https://target.scene7.com/is/image/Target/GUEST_266b2ff0-f175-4f4d-94bf-e7056b4da7cc?qlt=65&fmt=webp&hei=350&wid=350
all-purpose flour,Target,Gold Medal All Purpose Flour - 2lbs,$3.19,https://target.scene7.com/is/image/Target/GUEST_8c4bb7af-1c6b-434f-900e-2b1ffea607c7?qlt=65&fmt=webp&hei=350&wid=350
all-purpose flour,Target,All Purpose Flour - 5lbs - Market Pantry™,$2.59,https://target.scene7.com/is/image/Target/GUEST_102213bc-7f5e-468e-8ab7-9a959f089bc8?qlt=65&fmt=webp&hei=350&wid=350
all-purpose flour,Target,Organic Flour - 5LB - Good & Gather™,$5.59,https://target.scene7.com/is/image/Target/GUEST_cfffb539-6852-42a4-8ed1-cf2834d2b672?qlt=65&fmt=webp&hei=350&wid=350
all-purpose flour,Target,King Arthur Flour Unbleached Bread Flour - 5lbs,$5.79,https://target.scene7.com/is/image/Target/GUEST_01861227-79f4-4d40-b19c-4a40d460ab4a?qlt=65&fmt=webp&hei=350&wid=350
all-purpose flour,Target,Pillsbury Best Gluten Free All Purpose Flour Blend,$14.31,https://target.scene7.com/is/image/Target/GUEST_d4ea74c3-fa95-4e02-a472-a2fc8347aa40?qlt=65&fmt=webp&hei=350&wid=350
all-purpose flour,Target,Cup4Cup Original Multi-Purpose Flour Blend - 25 lb,$114.99,https://target.scene7.com/is/image/Target/GUEST_027979ef-1265-4d49-98d1-11df7309df6d?qlt=65&fmt=webp&hei=350&wid=350
all-purpose flour,Target,Bulk Flours and Baking Organic All Purpose Unbleached White Flour - 25 lb,$74.99,N/A
all-purpose flour,Target,"King Arthur Flour All-Purpose Keto Muffin Mix, 10 oz (283 g)",$11.49,N/A
all-purpose flour,Target,Jovial 100% Organic All Purpose Unbleached Einkorn Flour - Case of 10/32 oz,$111.49,N/A
all-purpose flour,Target,Pamela's Products All Purpose Artisan Blend Flour - Case of 3/4 lb,$79.99,N/A
