type,store,name,price,image_url
baking soda,Target,Arm & Hammer Advance White Extreme Whitening Baking Soda & Peroxide Toothpaste,$4.19 - $6.99,https://target.scene7.com/is/image/Target/GUEST_116b9642-1520-4d3c-99ef-b5af0bf04fe1?qlt=65&fmt=webp&hei=350&wid=350
baking soda,Target,Megababe The Geo Deo Multi-Mineral Daily Deodorant - Unscented - 2.6oz,$13.99,https://target.scene7.com/is/image/Target/GUEST_3f2c7684-7551-4277-af7a-eb009c13ff42?qlt=65&fmt=webp&hei=350&wid=350
baking soda,Target,Baking Soda - 16oz - Good & Gather™,$0.99,https://target.scene7.com/is/image/Target/GUEST_2471a2af-4cdb-4376-a1d4-a86e3c376362?qlt=65&fmt=webp&hei=350&wid=350
baking soda,Target,ARM & HAMMER Pure Baking Soda - 1lb,$1.59,https://target.scene7.com/is/image/Target/GUEST_fcd09430-37e9-4ec1-b1cf-1f0ed617a6b3?qlt=65&fmt=webp&hei=350&wid=350
baking soda,Target,Arm & Hammer Pure Baking Soda Bag - 3lb,$3.39,N/A
baking soda,Target,Arm & Hammer Baking Soda Fridge-n-Freezer Odor Absorber - 14oz,$1.49,N/A
baking soda,Target,Arm & Hammer PeroxiCare Healthy Gums Toothpaste,$4.19 - $6.99,N/A
baking soda,Target,Arm & Hammer Complete Care Toothpaste - Fresh Mint - 12oz/2pk,$6.99,N/A
baking soda,Target,Bob's Red Mill Nutritional Yeast - 5oz,$6.49,N/A
baking soda,Target,Native Sensitive Deodorant - Cotton & Lily - No Baking Soda - 2.65 oz,$12.99,N/A
baking soda,Target,Arm & Hammer Charcoal & Baking Soda Cat Litter Filter - 2pk - Unscented,$4.99,N/A
baking soda,Target,"Foods Alive Nutritional Yeast, Zesty Cheesy Goodness, 6 oz (170 g)",$15.65,N/A
