type,store,name,price,image_url
egg,Target,Grade A Large Eggs - 12ct - Good & Gather™ (Packaging May Vary),$2.19,https://target.scene7.com/is/image/Target/GUEST_393a7c9a-e12f-4983-8f4a-e58100a6192d?qlt=65&fmt=webp&hei=350&wid=350
egg,Target,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$3.19,https://target.scene7.com/is/image/Target/GUEST_8bc25861-da8d-49ed-97a2-567375198ac6?qlt=65&fmt=webp&hei=350&wid=350
egg,Target,Cage-Free Fresh Grade A Large Brown Eggs - 12ct - Good & Gather™,$4.79,https://target.scene7.com/is/image/Target/GUEST_fdcd2e42-1d87-4b92-aebc-abab6719cb08?qlt=65&fmt=webp&hei=350&wid=350
egg,Target,Organic Cage-Free Fresh Grade A Large Brown Eggs - 12ct - Good & Gather™,$4.99,https://target.scene7.com/is/image/Target/GUEST_beb1ce9d-3ed6-4d55-9ce4-ac3434180fe8?qlt=65&fmt=webp&hei=350&wid=350
egg,Target,Vital Farms Pasture-Raised Grade A Large Eggs - 12ct,$7.79,N/A
egg,Target,Grade A Extra Large Eggs - 12ct - Good & Gather™,$2.59,N/A
egg,Target,Eggland's Best Cage-Free Grade A Large Brown Eggs - 12ct,$4.99,N/A
egg,Target,Eggland's Best Grade A Large Eggs - 12ct,$3.59,N/A
egg,Target,"Jimmy Dean Delights Turkey Sausage, Egg Whites, & Cheese Frozen Croissant - 4ct",$8.29,N/A
egg,Target,Jimmy Dean Sausage Egg & Cheese Frozen Biscuit Sandwiches - 18.4oz/4ct,$5.99,N/A
egg,Target,Jimmy Dean Bacon Egg & Cheese Frozen Biscuit Sandwiches - 4ct,$6.99,N/A
egg,Target,Hamilton Beach Rapid 14 Egg Cooker 25508,$19.99,N/A
