type,store,name,price,image_url
egg yolk,Target,Cage-Free Liquid Egg Whites - 32oz - Good & Gather™,$5.59,https://target.scene7.com/is/image/Target/GUEST_1043dd92-363c-4da8-b309-8c451c4024d4?qlt=65&fmt=webp&hei=350&wid=350
egg yolk,Target,Cage-Free Hard Cooked Eggs - 2ct - Good & Gather™,$1.59,https://target.scene7.com/is/image/Target/GUEST_6504b76b-dd27-4ffa-b3a1-c9ede25048ae?qlt=65&fmt=webp&hei=350&wid=350
egg yolk,Target,Cage-Free Fresh Grade A Large Brown Eggs - 12ct - Good & Gather™,$4.79,https://target.scene7.com/is/image/Target/GUEST_fdcd2e42-1d87-4b92-aebc-abab6719cb08?qlt=65&fmt=webp&hei=350&wid=350
egg yolk,Target,Organic Cage-Free Fresh Grade A Large Brown Eggs - 12ct - Good & Gather™,$4.99,https://target.scene7.com/is/image/Target/GUEST_beb1ce9d-3ed6-4d55-9ce4-ac3434180fe8?qlt=65&fmt=webp&hei=350&wid=350
egg yolk,Target,Grade A Extra Large Eggs - 12ct - Good & Gather™,$2.59,https://target.scene7.com/is/image/Target/GUEST_2a008060-7925-4ccd-a768-683214d1a6d6?qlt=65&fmt=webp&hei=350&wid=350
egg yolk,Target,Grade A Large Eggs - 12ct - Good & Gather™ (Packaging May Vary),$2.19,https://target.scene7.com/is/image/Target/GUEST_393a7c9a-e12f-4983-8f4a-e58100a6192d?qlt=65&fmt=webp&hei=350&wid=350
egg yolk,Target,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$3.19,https://target.scene7.com/is/image/Target/GUEST_8bc25861-da8d-49ed-97a2-567375198ac6?qlt=65&fmt=webp&hei=350&wid=350
egg yolk,Target,Extra-Wide Yolk-free Ribbons - 12oz - Good & Gather™,$1.19,https://target.scene7.com/is/image/Target/GUEST_b5c4d651-c9b1-4129-bc30-05a60af77c11?qlt=65&fmt=webp&hei=350&wid=350
egg yolk,Target,Addie Outdoor/Indoor Chaise Lounge Cushion - Pillow Perfect,See price in cart,N/A
egg yolk,Target,Outdoor/Indoor Addie Squared Corners Seat Cushion Set of 2 - Pillow Perfect,$42.67,N/A
egg yolk,Target,"20""x20""x3"" Addie 2pc Outdoor/Indoor Squared Corners Seat Cushion Set - Pillow Perfect",$67.22 - $71.63,N/A
egg yolk,Target,Cage-Free Hard-Cooked Eggs - 9.3oz/6ct - Good & Gather™,$3.89,N/A
