type,store,name,price,image_url
light or dark brown sugar,Target,Dark Brown Sugar - 2lbs - Good & Gather™,$2.39,https://target.scene7.com/is/image/Target/GUEST_bc000f00-57b9-4096-abee-69e1515d3049?qlt=65&fmt=webp&hei=350&wid=350
light or dark brown sugar,Target,C&H Premium Pure Cane Dark Brown Sugar - 2lbs,$3.69,https://target.scene7.com/is/image/Target/GUEST_586a1f29-5792-4936-98b2-77c2bf3d36be?qlt=65&fmt=webp&hei=350&wid=350
light or dark brown sugar,Target,Domino Premium Pure Cane Dark Brown Sugar - 2lbs,$3.39,https://target.scene7.com/is/image/Target/GUEST_6a8d2a67-992d-44ea-ae46-c79fd65b555e?qlt=65&fmt=webp&hei=350&wid=350
light or dark brown sugar,Target,Crystal Dark Brown Sugar - 2lbs,$2.09,https://target.scene7.com/is/image/Target/GUEST_931c1373-dac7-40a1-8ab1-47b90a5496a8?qlt=65&fmt=webp&hei=350&wid=350
light or dark brown sugar,Target,Organic Light Brown Sugar -  24oz - Good & Gather™,$3.69,https://target.scene7.com/is/image/Target/GUEST_58e2d14a-4180-41f8-a1a4-24a4ec97367f?qlt=65&fmt=webp&hei=350&wid=350
light or dark brown sugar,Target,Light Brown Sugar - 2lbs - Good & Gather™,$2.39,https://target.scene7.com/is/image/Target/GUEST_92b3d480-b9e8-4a45-9a58-51ddf1888448?qlt=65&fmt=webp&hei=350&wid=350
light or dark brown sugar,Target,C&H Premium Pure Cane Light Brown Sugar - 2lbs,$3.69,https://target.scene7.com/is/image/Target/GUEST_81080191-8a43-4b8c-b63b-06f118b136bb?qlt=65&fmt=webp&hei=350&wid=350
light or dark brown sugar,Target,Domino Premium Pure Cane Light Brown Sugar - 2lbs,$3.39,https://target.scene7.com/is/image/Target/GUEST_39e81ea5-23df-4c0a-9e6a-6947c50df2ae?qlt=65&fmt=webp&hei=350&wid=350
light or dark brown sugar,Target,L'Oreal Paris Excellence Triple Protection Permanent Hair Color - 6.3 fl oz,$10.99,N/A
light or dark brown sugar,Target,Garnier Nutrisse Ultra Coverage 100% Gray Coverage Permanent Hair Color,$8.99 - $9.49,N/A
light or dark brown sugar,Target,Garnier Nutrisse Nourishing Permanent Hair Color Creme,$8.49,N/A
light or dark brown sugar,Target,Garnier Olia Oil Powered Ammonia Free Permanent Hair Color,$9.49,N/A
