type,store,name,price,image_url
pure vanilla extract,Target,Pure Vanilla Extract - 2oz - Good & Gather™,$6.29,https://target.scene7.com/is/image/Target/GUEST_8ddd71ba-4ca7-4f46-8918-210118c33eba?qlt=65&fmt=webp&hei=350&wid=350
pure vanilla extract,Target,McCormick Pure Vanilla Extract - 2 fl oz,$7.39,https://target.scene7.com/is/image/Target/GUEST_3c9036e6-c59d-435f-b918-aaaf31fbad1d?qlt=65&fmt=webp&hei=350&wid=350
pure vanilla extract,Target,Pure Vanilla Extract - 1oz - Good & Gather™,$4.19,https://target.scene7.com/is/image/Target/GUEST_953c691c-5387-4f7f-b118-009f91ac41d0?qlt=65&fmt=webp&hei=350&wid=350
pure vanilla extract,Target,Watkins Pure Vanilla Extract with Madagascar Vanilla Beans 2oz,$10.59,https://target.scene7.com/is/image/Target/GUEST_22103db6-b899-499c-9a10-d86e9a176193?qlt=65&fmt=webp&hei=350&wid=350
pure vanilla extract,Target,Nielsen Massey Pure Vanilla Extract - 6oz,$29.99,N/A
pure vanilla extract,Target,Watkins Inc. Organic Pure Vanilla Extract,$19.36,N/A
pure vanilla extract,Target,McCormick Pure Vanilla Extract - Case of 6 - 4 oz,$156.59,N/A
pure vanilla extract,Target,Frontier Co-Op Organic Pure Vanilla Extract - 2 oz,$22.99,N/A
pure vanilla extract,Target,Simply Organic Pure Madagascar Vanilla Flavoring - Case of 6/4 oz,$130.49,N/A
pure vanilla extract,Target,Simply Organic Pure Madagascar Vanilla Flavoring - Case of 6/2 oz,$83.99,N/A
pure vanilla extract,Target,Nielsen Massey Pure Vanilla Bean Paste - 6oz,$29.99,N/A
pure vanilla extract,Target,Singing Dog Vanilla Pure Vanilla Flavor - Alcohol Free 4 fl oz Liq,$26.44,N/A
