type,store,name,price,image_url
salt,Target,Iodized Salt - 26oz - Good & Gather™,$0.69,https://target.scene7.com/is/image/Target/GUEST_69191769-842b-4512-85f6-36f4f21ecbf5?qlt=65&fmt=webp&hei=350&wid=350
salt,Target,Plain Salt - 26oz - Good & Gather™,$0.69,https://target.scene7.com/is/image/Target/GUEST_96277bc3-4f71-4bc2-b2e3-76472de5be71?qlt=65&fmt=webp&hei=350&wid=350
salt,Target,Morton Iodized Salt - 26oz,$1.69,https://target.scene7.com/is/image/Target/GUEST_f134a098-901b-4ce6-a6e8-c0c8902de483?qlt=65&fmt=webp&hei=350&wid=350
salt,Target,Sea Salt with Grinder - 3.5oz - Good & Gather™,$3.49,https://target.scene7.com/is/image/Target/GUEST_b893a2c4-5a8c-4cf9-9cb2-75ce2da3cd8d?qlt=65&fmt=webp&hei=350&wid=350
salt,Target,Lawry's Seasoned Salt - 8oz,$3.19,N/A
salt,Target,Salt Free Garlic & Herb Seasoning Blend - 2.5oz - Good & Gather™,$2.39,N/A
salt,Target,Salt Free Lemon Pepper Seasoning Blend - 2.5oz - Good & Gather™,$2.39,N/A
salt,Target,Lawry's Classic Coarse Ground Garlic Salt - 11oz,$4.99,N/A
salt,Target,McCormick Himalayan Pink Salt with Black Pepper and Garlic All Purpose Seasoning - 6.5oz,$4.99,N/A
salt,Target,Epsom Salt - 128oz - up&up™,$6.79,N/A
salt,Target,Lawry's Coarse Ground With Parsley Garlic Salt - 6oz,$3.99,N/A
salt,Target,Epsom Salt - 4lb - up&up™,$3.79,N/A
