,Name,Volume,Weight,Can_not_eat
0,all-purpose flour,2 and 1/4 cups,280g,False
1,baking soda,1 teaspoon,,False
2,cornstarch,1 and 1/2 teaspoons,,False
3,salt,1/2 teaspoon,,False
4,Coconut oil,1 cup,218 grams,False
5,light or dark brown sugar,3/4 cup,150g,False
6,granulated sugar,1/2 cup,100g,False
7,Flaxseed meal mixed with water,1 cup,150 grams,False
8,Flaxseed meal mixed with water,1 cup,120 grams,False
9,pure vanilla extract,2 teaspoons,,False
10,semi-sweet chocolate chips,1 and 1/4 cups,225g,False
